long,lat,name,Address,Website,enroll_val,math_perc,reading_perc,isa_perc,s_per_t,fam_sat,stu_sat,red_lunch
-122.387234,47.579495,Lafayette,2645 California Ave SW,http://www.mylafayette.org/,481,0.735743333,0.68413,0.95779,19,0.733,0.506,0.23909
-122.277962,47.662199,Laurelhurst,4530 46th Ave NE,http://www.seattleschools.org/schools/laurelhurst/,433,0.807726667,0.68428,0.9538,16,0.707,0.483,0.22402
-122.390476,47.656713,Lawton,4000 27th Ave W,http://www.seattleschools.org/schools/lawton/,426,0.807636667,0.844283333,0.96041,17,0.877,0.618,0.10798
-122.29163,47.601986,Leschi,,,368,0.444276667,0.51446,0.94521,15,0.806,0.533,0.55163
,,Licton Springs,,,99,0.24074,0.22564,0.89973,11,-,0.431,0.63636
-122.361624,47.5486,Louisa Boren STEM,,,351,0.46069,0.545663333,0.95293,17,0.843,0.535,0.2906
-122.31838,47.624424,Lowell,1058 E Mercer St,http://www.seattleschools.org/schools/lowell/,315,0.34039,0.469936667,0.93836,13,0.738,0.523,0.6127
-122.389052,47.686434,Loyal Heights,2511 NW 80th St,http://www.seattleschools.org/schools/loyalheights,427,0.84479,0.889573333,0.96052,19,0.841,0.633,0.08197
-122.290618,47.612284,Madrona K-8,,,212,0.522623333,0.457316667,0.94325,14,0.752,0.469,0.57547
-122.3189,47.558126,Maple,4925 Corson Ave S,http://www.seattleschools.org/schools/maple.html,480,0.6585,0.671153333,0.9642,15,0.882,0.617,0.675
-122.276787,47.542097,Martin Luther King Jr.,,,323,0.35251,0.35645,0.95217,15,0.775,0.567,0.75542
-122.326417,47.668469,McDonald International,,,453,0.852506667,0.8532,0.95954,16,0.917,0.586,0.05077
-122.284831,47.634078,Mcgilvra,1617 38th Ave E,http://www.mcgilvraschool.org,275,0.81463,0.753043333,0.96089,14,0.833,0.601,0.08727
-122.304286,47.640634,Montlake,2409 22nd Ave E,http://www.montlakeschool.org,265,0.832803333,0.822223333,0.95497,17,0.842,0.624,0.06792
-122.387037,47.694976,North Beach,9018 24th Ave NW,http://www.seattleschools.org/schools/northbeach/,294,0.713533333,0.81977,0.96036,16,0.848,0.597,0.09864
-122.329584,47.714867,Northgate,11725 1st Ave NE,http://www.seattleschools.org/schools/northgate/,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859
-122.306757,47.723687,Olympic Hills,13018 20th Ave NE,http://olympichills.seadesk.seattleschools.org/public.aspx,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471
-122.321258,47.698231,Olympic View,504 NE 95th St,http://www.seattleschools.org/schools/olyview/,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612
-122.276076,47.5548,Orca,,,289,0.526083333,0.600016667,0.93565,17,0.735,0.605,0.18685
-122.357557,47.5628,Pathfinder ,,,333,0.660016667,0.617446667,0.95482,15,0.881,0.516,0.15916
-122.348589,47.637987,Queen Anne,,,427,0.687576667,0.79903,0.95742,18,0.9,0.63,0.07728
-122.263098,47.499171,Rainier View,,,230,0.68426,0.650963333,0.9498,16,0.728,0.655,0.77826
-122.37056,47.518053,Roxhill,9430 30th Ave SW,http://www.seattleschools.org/schools/roxhill/,300,0.384383333,0.37824,0.94902,11,0.755,0.504,0.82667
-122.307474,47.698448,Sacajawea,9501 20th Ave NE,http://www.seattleschools.org/schools/sacajawea/,232,0.499683333,0.513266667,0.95666,13,0.799,0.553,0.31034
-122.380475,47.676437,Salmon Bay,,,319,0.57794,0.65566,0.94946,18,0.795,0.599,0.07837
-122.262676,47.673567,Sandpoint,,,255,0.612296667,0.651266667,0.95573,12,0.87,0.553,0.45882
-122.358659,47.539609,Sanislo,1812 SW Myrtle St,http://www.seattleschools.org/schools/sanislo/index.htm,273,0.29811,0.427426667,0.95122,13,0.824,0.486,0.71429
-122.271701,47.523862,South Shore ,,,365,0.465173333,0.420936667,0.95221,14,0.671,0.49,0.62192
-122.307864,47.631456,Stevens,1242 18th Ave E,http://www.stevenselementary.net,338,0.487516667,0.516013333,0.96092,14,0.665,0.573,0.35503
-122.284739,47.685044,Thornton Creek,,,416,0.480613333,0.527343333,0.9601,14,0.937,0.727,0.06971
-122.299846,47.590959,Thurgood Marshall,2401 S Irving St,http://www.seattleschools.org/schools/thmarshall/,526,0.858846667,0.83803,0.96136,16,0.845,0.592,0.29848
-122.324119,47.642346,TOPS,,,318,0.67079,0.69414,0.95448,18,0.833,0.52,0.28931
-122.288583,47.529132,Van Asselt,,,511,0.61284,0.47997,0.95768,14,0.835,0.556,0.82192
-122.275333,47.680688,View Ridge,7047 50th Ave NE,http://www.seattleschools.org/schools/viewridge/,592,0.84615,0.882263333,0.96324,17,0.836,0.683,0.09628
-122.360978,47.706014,Viewlands,,,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042
-122.297053,47.690538,Wedgwood,2720 NE 85th St,http://www.seattleschools.org/schools/wedgwood/,482,0.87187,0.898563333,0.96306,18,0.862,0.62,0.09336
-122.373494,47.541762,West Seattle,6760 34th Ave SW,http://www.seattleschools.org/schools/westseattle,415,0.56559,0.505166667,0.94177,13,0.809,0.661,0.85783
-122.362247,47.6706,West Woodland,5601 4th Ave NW,http://www.westwoodland.org/,532,0.863196667,0.909223333,0.96129,18,0.899,0.649,0.09023
-122.373077,47.683591,Whittier,1320 NW 75th St,http://www.whittierway.org/,469,0.77679,0.81413,0.96364,19,0.771,0.604,0.10661
-122.284905,47.53074,Wing Luke,3701 S Kenyon St,http://www.seattleschools.org/schools/wingluke/,361,0.614483333,0.61773,0.95511,13,0.882,0.578,0.81163
