OBJECTID,STREET_NAME,LENGTH_MILES,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,CATALYTIC_PROJECTS,STATUS,NETWORK,COMPKEY,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,Shape,Shape_Length
24,DEXTER AVE N,0.01995247,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,MEETS,CITYWIDE,10076,870,,,"(47.624549726000055, -122.34234960099997)",105.3490254
25,VALLEY ST,0.07066019,,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,13265,384,,,"(47.62579577000008, -122.33863455)",373.0857784
26,RENTON AVE S,0.09433657,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12522,699,,,"(47.527438852000046, -122.27745512599995)",498.0474633
27,LAKE WASHINGTON BLVD S,0.16003097,12/31/2013 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,UPGRADE,LOCAL,335963,517,,,"(47.59458293500006, -122.289160246)",844.8334087
28,RAINIER AVE S,0.16645347,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,CITYWIDE,12432,689,,,"(47.51932465800007, -122.25734254399998)",878.8670241
29,N 130TH ST,0.05953902,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation",,0,UPGRADE,CITYWIDE,15157,582,,,"(47.72323075700007, -122.35418569499996)",314.3660135
30,RENTON AVE S,0.14654961,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12531,696,,,"(47.51684872800007, -122.26961113399994)",773.7819466
31,TERRY AVE,0.0260555,,Sharrow,Neighborhood Greenway,0,NA,LOCAL,13099,836,,,"(47.60284252900004, -122.32074023199999)",137.5730479
32,DELRIDGE WAY SW,0.03233442,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation",,,,,9982,,,,"(47.53415151000007, -122.36054820099997)",170.6798236
33,38TH AVE NE,0.05000602,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,5876,0,,,"(47.69236501900008, -122.28797854199996)",264.0317632
34,DELRIDGE WAY SW,0.09551337,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation",,,,,9978,,,,"(47.53795416600008, -122.36109186499999)",504.3106007
35,7TH AVE,0.08075343,,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,8164,335,,,"(47.61582545500005, -122.33875323499996)",426.3780724
36,N 125TH ST,0.17857967,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,519931,0,,,"(47.719582856000045, -122.34876739699996)",942.9006497
37,3RD AVE NE,0.06266737,12/31/2009 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,NA,LOCAL,4421,263,,,"(47.712247164000075, -122.32605019199997)",330.8837229
38,S DEARBORN ST,0.05900137,,"In Street, Minor Separation",,0,MEETS,CITYWIDE,19834,722,,,"(47.59581676500005, -122.31408351199997)",311.5272446
39,38TH AVE NE,0.05000601,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,5874,0,,,"(47.69091754800007, -122.28801482299997)",264.0317514
40,DEXTER AVE N,0.03902518,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,MEETS,CITYWIDE,10077,870,,,"(47.62483842200004, -122.34233742799995)",206.0529518
41,RENTON AVE S,0.02884956,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12549,698,,,"(47.50290513900006, -122.25086268999996)",152.325701
42,5TH AVE NE,0.08588799,12/31/2008 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,7254,0,,,"(47.70495586000004, -122.32316952299999)",453.4886133
43,LAKE WASHINGTON BLVD S,0.09564489,12/31/2013 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,UPGRADE,LOCAL,11218,517,,,"(47.60169503600008, -122.28758926399996)",504.7553109
44,39TH AVE NE,0.12525977,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,5996,261,,,"(47.684853184000076, -122.28631570499999)",661.371586
45,,0.07380726,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation",,0,MEETS,CITYWIDE,,,,,"(47.627374391000046, -122.33943688999994)",389.6853977
46,LATONA AVE NE,0.04921687,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,11305,535,,,"(47.67083726100003, -122.32553103599997)",259.865082
47,NE 115TH ST,0.06223866,12/31/2010 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,NA,LOCAL,16332,263,,,"(47.71223978000006, -122.32471613599995)",328.5918977
48,BLANCHARD ST,0.06098219,12/31/2008 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,UPGRADE,LOCAL,9293,378,,,"(47.61393610700003, -122.34349377099994)",321.9859809
49,S DEARBORN ST,0.08595168,,"In Street, Minor Separation",,0,MEETS,CITYWIDE,19833,722,,,"(47.59581993300003, -122.31592282199995)",453.824769
50,LATONA AVE NE,0.0531057,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,11309,535,,,"(47.67360156800004, -122.32547252699999)",280.3981082
51,SW ALASKA ST,0.06178046,,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,21737,795,,,"(47.56106419300005, -122.38413694199994)",326.2008437
52,NE 85TH ST,0.02701463,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,17724,0,,,"(47.69019414500008, -122.28807637399996)",142.6372602
53,YESLER WAY,0.07987662,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation","In Street, Major Separation",0,MEETS,LOCAL,13768,455,,,"(47.60170347700006, -122.32244685299997)",421.7485619
54,,0.04144364,12/31/2008 12:00:00 AM +0000,"In Street, Minor Separation",Neighborhood Greenway,0,NA,LOCAL,,,,,"(47.655400394000026, -122.31732834299999)",218.8223997
55,RENTON AVE S,0.13122828,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12550,698,,,"(47.50252097200007, -122.25062234499995)",692.8757017
56,RAINIER AVE S,0.04129009,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,MEETS,LOCAL,12430,688,,,"(47.52026439600007, -122.26158231799997)",217.9887046
57,LAKE WASHINGTON BLVD S,0.48499822,12/31/2013 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,UPGRADE,LOCAL,11228,517,,,"(47.58768187100003, -122.28929852399995)",2554.137463
58,RENTON AVE S,0.033337,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12521,699,,,"(47.527901273000055, -122.27765878399998)",176.0193435
59,63RD AVE SW,0.03334498,12/31/2013 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,MEETS,LOCAL,8119,329,,,"(47.57308175000003, -122.41343619199995)",175.9653327
60,BURKE GILMAN SAND POINT TRL,0.27628794,12/31/2009 12:00:00 AM +0000,Multi-use Trail,,0,MEETS,LOCAL,567743,0,,,"(47.68616553500004, -122.264984202)",1942.444589
61,DELRIDGE WAY SW,0.12500404,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,NA,CITYWIDE,9960,408,,,"(47.568347464000055, -122.36328260799996)",660.0213073
62,LATONA AVE NE,0.05303316,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,11311,535,,,"(47.67513653100008, -122.32544882699995)",280.0150853
63,LAKE WASHINGTON BLVD S,0.07934484,12/31/2013 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,UPGRADE,LOCAL,11225,517,,,"(47.591135343000076, -122.28918884999996)",418.9407579
64,RENTON AVE S,0.02109883,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12514,699,,,"(47.53248587100006, -122.27857513499998)",111.4018174
65,RENTON AVE S,0.04795185,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12542,697,,,"(47.50820460600005, -122.25651781599998)",253.1857419
66,RENTON AVE S,0.05718794,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12538,697,,,"(47.510716554000055, -122.26029523099999)",301.9521698
67,S WELLER ST,0.20872736,12/31/2012 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,NA,CITYWIDE,21537,750,,,"(47.59749957100007, -122.31722672699999)",1102.080483
68,SPRING ST,0.06046284,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation",,,,,12866,,,,"(47.60819780800006, -122.33022434099996)",319.2437747
69,NE 116TH ST,0.02656147,12/31/2009 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,NA,LOCAL,16367,263,,,"(47.71315700500003, -122.32664353199999)",140.2445647
70,LAKE WASHINGTON BLVD S,0.01486258,12/31/2013 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,11220,517,,,"(47.59915369400005, -122.28861904099995)",78.41087928
71,NE 82ND ST,0.04927783,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,17684,0,,,"(47.68843024000006, -122.28744225799994)",260.186957
72,LATONA AVE NE,0.05302047,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,11308,535,,,"(47.67283413800004, -122.32548446999999)",279.9480564
73,38TH AVE NE,0.12175282,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,5872,0,,,"(47.68843024000006, -122.28744225799994)",642.8548845
74,E COLUMBIA ST,0.06291445,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,Neighborhood Greenway,0,MEETS,CITYWIDE,13917,423,,,"(47.60918901500003, -122.30761363199997)",332.1882952
75,SW ALASKA ST,0.06174647,,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,21736,795,,,"(47.561058098000046, -122.38281651499994)",326.0213822
76,MARION ST,0.12184501,12/31/2011 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,UPGRADE,CITYWIDE,11673,560,,,"(47.60908893800007, -122.32337662399999)",643.3416692
77,MERIDIAN AVE N,0.06266969,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation",,0,MEETS,LOCAL,11823,0,,,"(47.70503640000004, -122.33392968299995)",330.8959765
78,RENTON AVE S,0.09241188,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12543,697,,,"(47.50764373100003, -122.25591432399995)",487.9347379
79,15TH AVE NE,0.12520445,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,NA,CITYWIDE,2086,135,,,"(47.717602181000075, -122.31261738199998)",661.0794968
80,BELL ST,0.06102245,12/31/2008 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,9203,376,,,"(47.61669824200004, -122.34221437499997)",322.1985215
81,ROOSEVELT WAY NE,0.05002257,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,NA,CITYWIDE,12630,701,,,"(47.68747416100007, -122.31756555799996)",264.1191545
82,DELRIDGE WAY SW,0.08274763,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,NA,CITYWIDE,9977,409,,,"(47.539147402000026, -122.36093796499995)",436.9074744
83,ROY ST,0.06074287,,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,12691,384,,,"(47.62539824000004, -122.34103566899995)",320.7223707
84,S MYRTLE PL,0.04098789,,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,20903,756,,,"(47.537298726000074, -122.28686226599996)",216.3044571
85,E YESLER WAY,0.04865306,12/31/2007 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,14935,455,,,"(47.601695164000034, -122.31782315499999)",256.8881398
86,VALLEY ST,0.04297326,,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,13266,384,,,"(47.625789508000025, -122.33712161899996)",226.8988043
87,LATONA AVE NE,0.05294212,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,11310,535,,,"(47.67437023400004, -122.32546064799999)",279.5343755
88,5TH AVE S,0.05598907,12/31/2016 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0,NA,CITYWIDE,7356,326,,,"(47.60168377100007, -122.32765594099999)",295.622265
89,LAKE WASHINGTON BLVD S,0.1405255,12/31/2013 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,UPGRADE,LOCAL,11219,517,,,"(47.60082646500007, -122.28765563399998)",741.9189824
90,E COLUMBIA ST,0.06091737,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,Neighborhood Greenway,0,MEETS,CITYWIDE,13923,423,,,"(47.60901406000005, -122.30015994399997)",321.6437376
91,S BARTON ST,0.0341909,12/31/2000 12:00:00 AM +0000,Multi-use Trail,Neighborhood Greenway,0,NA,LOCAL,613404,,,,"(47.521021647000055, -122.27708181199995)",180.5279443
92,E COLUMBIA ST,0.06102154,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,Neighborhood Greenway,0,MEETS,CITYWIDE,13914,423,,,"(47.609205985000074, -122.31153383899999)",322.1937222
93,ALKI AVE SW,0.18808319,12/31/2000 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,NA,LOCAL,8802,364,,,"(47.57781840400003, -122.41525391399995)",993.0690141
94,20TH AVE W,0.12927677,12/31/1990 12:00:00 AM +0000,"In Street, Minor Separation",Multi-use Trail,0,NA,CITYWIDE,3090,173,,,"(47.64658658500008, -122.38197394999997)",682.5813347
95,ROOSEVELT WAY NE,0.05002014,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,NA,CITYWIDE,12633,701,,,"(47.68892135900006, -122.31759120499999)",264.1063235
96,E COLUMBIA ST,0.06099414,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,Neighborhood Greenway,0,MEETS,CITYWIDE,13913,423,,,"(47.60921053800007, -122.31283939699995)",322.0490803
97,MERCER ST,0.06096404,12/31/2007 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,11761,0,,12/31/2016 12:00:00 AM +0000,"(47.62458297400008, -122.35670922099996)",321.8901478
98,NE 115TH ST,0.06220335,12/31/2010 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,NA,LOCAL,16331,263,,,"(47.712247164000075, -122.32605019199997)",328.4337132
99,S MYRTLE PL,0.07540141,,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,20901,756,,,"(47.53837242700007, -122.28998367999998)",398.1194429
100,RENTON AVE S,0.04597922,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12534,696,,,"(47.514089254000055, -122.26541862599998)",242.7702755
101,WESTERN AVE,0.08071048,12/31/2008 12:00:00 AM +0000,"In Street, Major Separation",,0,MEETS,LOCAL,13502,0,,,"(47.606370465000055, -122.33930681599998)",426.1513245
102,LATONA AVE NE,0.03951337,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,11307,535,,,"(47.67226221100003, -122.32549332899998)",208.6305907
103,NE 125TH ST,0.05575446,,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,16506,773,,,"(47.71923448100006, -122.28852936499999)",294.383524
104,RENTON AVE S,0.02560446,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12548,698,,,"(47.503220707000025, -122.25114885099998)",135.189062
105,E COLUMBIA ST,0.06129861,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,Neighborhood Greenway,0,MEETS,CITYWIDE,13926,423,,,"(47.609006899000065, -122.29624649099998)",323.6566749
106,SPRUCE ST,0.0609848,12/31/2011 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,NA,LOCAL,12874,836,,,"(47.60269993900005, -122.32214372299995)",321.9997209
107,LATONA AVE NE,0.04924362,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,11306,535,,,"(47.67154964000008, -122.32552024999995)",260.0062994
108,RAINIER AVE S,0.13560571,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,CITYWIDE,12435,690,,,"(47.51475163300006, -122.25240047099999)",715.998136
109,S WELLER ST,0.1219818,12/31/2012 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,NA,CITYWIDE,21539,750,,,"(47.597488750000025, -122.31158332599995)",644.0638826
110,E COLUMBIA ST,0.06091204,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,Neighborhood Greenway,0,MEETS,CITYWIDE,13919,423,,,"(47.60902403600005, -122.305019002)",321.6155532
111,RAINIER AVE S,0.17250021,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,CITYWIDE,12434,690,,,"(47.516759583000066, -122.25450762899999)",910.6573296
112,NE 125TH ST,0.06743926,,Sharrow,"In Street, Major Separation",0,NA,CITYWIDE,16504,620,,,"(47.71925343700008, -122.29078406199994)",356.0792593
113,E INTERLAKEN BLVD,0.33281197,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,CITYWIDE,,,,,"(47.635781647000044, -122.30881215599999)",1757.121699
114,ROOSEVELT WAY NE,0.02557447,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0,NA,CITYWIDE,12632,701,,,"(47.68855119500006, -122.31758465599995)",135.0332255
115,BOYER AVE E,0.0445077,12/31/2012 12:00:00 AM +0000,Sharrow,Sharrow,0,NA,LOCAL,9355,381,,,"(47.63734057400006, -122.30603491499994)",235.000648
116,S ORCAS ST,0.05339456,,,"In Street, Minor Separation",0,MEETS,LOCAL,20982,762,,,"(47.55101515300004, -122.30174019099996)",281.9232556
117,BLANCHARD ST,0.06101337,12/31/2008 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,UPGRADE,LOCAL,9291,378,,,"(47.61260645700003, -122.34521327099998)",322.1505792
118,S KING ST,0.03040183,12/31/2009 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0,UPGRADE,CITYWIDE,336185,750,,,"(47.598350647000075, -122.32440436399997)",160.521658
119,39TH AVE NE,0.12165549,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0,MEETS,LOCAL,5997,261,,,"(47.68666615800004, -122.28635184299998)",642.339695
120,WESTERN AVE,0.10058651,12/31/2008 12:00:00 AM +0000,"In Street, Major Separation",,0,MEETS,LOCAL,13505,0,,,"(47.60933342100003, -122.34206933399997)",531.0967589
121,5TH AVE NE,0.07480965,12/31/2008 12:00:00 AM +0000,"In Street, Minor Separation",Neighborhood Greenway,0,MEETS,LOCAL,7287,323,,,"(47.66206943800006, -122.32292606699997)",394.9949543
122,BELL ST,0.06097777,12/31/2008 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0,UPGRADE,CITYWIDE,9204,351,,,"(47.617362928000034, -122.34135400399998)",321.9626501
123,BROOKLYN AVE NE,0.12221625,12/31/2014 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,MEETS,LOCAL,9475,389,,,"(47.65359884700007, -122.31448850999999)",645.3015852
124,5TH AVE NE,0.06271386,12/31/2008 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,7253,0,,,"(47.70404810400004, -122.32315894799996)",331.1291561
125,N 125TH ST,0.12534948,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,15133,0,,,"(47.71957175000006, -122.342248026)",661.8452427
126,S OTHELLO ST,0.09840312,,Sharrow,"In Street, Major Separation",0,UPGRADE,CITYWIDE,21052,756,,,"(47.53704572700008, -122.28339658099998)",519.5684913
127,YESLER WAY,0.18242017,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation","In Street, Major Separation",0,MEETS,LOCAL,13767,455,,,"(47.60170997000006, -122.32635082599995)",963.1697078
128,W ROY ST,0.06091199,,"In Street, Minor Separation","In Street, Minor Separation",0,MEETS,LOCAL,23699,854,,,"(47.625718074000076, -122.35800889699999)",321.61531
129,ROOSEVELT WAY NE,0.04059023,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation",,0,MEETS,CITYWIDE,12593,705,,,"(47.656301849000045, -122.31783423699994)",214.3164235
130,S MYRTLE PL,0.07541151,,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,20900,756,,,"(47.53886714600003, -122.29142061599998)",398.1727685
131,BEACH DR SW,0.19038478,,Sharrow,Neighborhood Greenway,0,NA,LOCAL,9089,364,,,"(47.57459785400005, -122.41813947299994)",1005.231622
132,5TH AVE NE,0.16550904,12/31/2008 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,7255,0,,,"(47.70619885000008, -122.32320571099996)",873.8877246
133,BLANCHARD ST,0.06103024,12/31/2008 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0,UPGRADE,LOCAL,9296,378,,,"(47.61592967000007, -122.34091505199996)",322.2396577
134,W ROY ST,0.0622255,,Sharow,Neighborhood Greenway,0,UPGRADE,LOCAL,23700,853,,,"(47.62572404000008, -122.35931309799997)",328.5506412
135,SW ALASKA ST,0.06517646,,"In Street, Minor Separation","In Street, Major Separation",0,UPGRADE,CITYWIDE,21734,795,,,"(47.561082113000055, -122.38006290899995)",344.1317156
136,BOYER AVE E,0.0261289,12/31/2012 12:00:00 AM +0000,Sharrow,Sharrow,0,NA,LOCAL,9356,381,,,"(47.63770786200007, -122.30681804299996)",137.9606103
137,CALIFORNIA AVE SW,0.0520902,12/31/2009 12:00:00 AM +0000,"In Street, Minor Separation",,0,MEETS,LOCAL,9569,0,,,"(47.54148494800006, -122.38725202399996)",275.0362414
138,S WELLER ST,0.11298436,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation",Neighborhood Greenway,0,NA,CITYWIDE,21536,750,,,"(47.59750944700005, -122.31964456199995)",596.557402
139,RENTON AVE S,0.13353691,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0,NA,LOCAL,12546,698,,,"(47.50522009000008, -122.25330411799996)",705.074897
