,OBJECTID,STREET_NAME,LENGTH_MILES,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,CATALYTIC_PROJECTS,STATUS,NETWORK,COMPKEY,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,Shape,Shape_Length,BG_geoid,BG_label
24,25,VALLEY ST,0.07066019,,"In Street, Minor Separation","In Street, Major Separation",0.0,UPGRADE,CITYWIDE,13265.0,384.0,,,"(47.62579577000008, -122.33863455)",373.0857784,530330067002,Blkgrp 0067002
25,26,RENTON AVE S,0.09433657,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12522.0,699.0,,,"(47.527438852000046, -122.27745512599995)",498.04746330000006,530330118005,Blkgrp 0118005
26,27,LAKE WASHINGTON BLVD S,0.16003097,12/31/2013 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,UPGRADE,LOCAL,335963.0,517.0,,,"(47.59458293500006, -122.289160246)",844.8334087000002,530330089001,Blkgrp 0089001
27,28,RAINIER AVE S,0.16645347,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation",,0.0,MEETS,CITYWIDE,12432.0,689.0,,,"(47.51932465800007, -122.25734254399998)",878.8670241000001,530330118001,Blkgrp 0118001
28,29,N 130TH ST,0.05953902,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation",,0.0,UPGRADE,CITYWIDE,15157.0,582.0,,,"(47.72323075700007, -122.35418569499996)",314.36601349999995,530330004013,Blkgrp 0004013
29,30,RENTON AVE S,0.14654961,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12531.0,696.0,,,"(47.51684872800007, -122.26961113399994)",773.7819466,530330118004,Blkgrp 0118004
30,31,TERRY AVE,0.026055500000000002,,Sharrow,Neighborhood Greenway,0.0,,LOCAL,13099.0,836.0,,,"(47.60284252900004, -122.32074023199999)",137.5730479,530330086003,Blkgrp 0086003
31,32,DELRIDGE WAY SW,0.03233442,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation",,,,,9982.0,,,,"(47.53415151000007, -122.36054820099997)",170.6798236,530330107012,Blkgrp 0107012
32,33,38TH AVE NE,0.05000602,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0.0,MEETS,LOCAL,5876.0,0.0,,,"(47.69236501900008, -122.28797854199996)",264.0317632,530330022002,Blkgrp 0022002
33,34,DELRIDGE WAY SW,0.09551337,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation",,,,,9978.0,,,,"(47.53795416600008, -122.36109186499999)",504.3106007,530330108002,Blkgrp 0108002
34,35,7TH AVE,0.08075343,,"In Street, Minor Separation","In Street, Major Separation",0.0,UPGRADE,CITYWIDE,8164.0,335.0,,,"(47.61582545500005, -122.33875323499996)",426.37807239999995,530330072001,Blkgrp 0072001
35,36,N 125TH ST,0.17857967,12/31/2011 12:00:00 AM +0000,"In Street, Minor Separation",,0.0,MEETS,LOCAL,519931.0,0.0,,,"(47.719582856000045, -122.34876739699996)",942.9006497000001,530330004022,Blkgrp 0004022
36,37,3RD AVE NE,0.06266737,12/31/2009 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,,LOCAL,4421.0,263.0,,,"(47.712247164000075, -122.32605019199997)",330.8837229,530330006005,Blkgrp 0006005
37,38,S DEARBORN ST,0.05900137,,"In Street, Minor Separation",,0.0,MEETS,CITYWIDE,19834.0,722.0,,,"(47.59581676500005, -122.31408351199997)",311.5272446000001,530330090002,Blkgrp 0090002
38,39,38TH AVE NE,0.05000601,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0.0,MEETS,LOCAL,5874.0,0.0,,,"(47.69091754800007, -122.28801482299997)",264.0317514,530330022003,Blkgrp 0022003
39,40,DEXTER AVE N,0.03902518,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0.0,MEETS,CITYWIDE,10077.0,870.0,,,"(47.62483842200004, -122.34233742799995)",206.05295180000002,530330072001,Blkgrp 0072001
40,41,RENTON AVE S,0.02884956,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12549.0,698.0,,,"(47.50290513900006, -122.25086268999996)",152.325701,530330119002,Blkgrp 0119002
41,42,5TH AVE NE,0.08588799,12/31/2008 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0.0,UPGRADE,LOCAL,7254.0,0.0,,,"(47.70495586000004, -122.32316952299999)",453.48861330000005,530330012003,Blkgrp 0012003
42,43,LAKE WASHINGTON BLVD S,0.09564489,12/31/2013 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,UPGRADE,LOCAL,11218.0,517.0,,,"(47.60169503600008, -122.28758926399996)",504.75531090000004,530330078001,Blkgrp 0078001
43,44,39TH AVE NE,0.12525977,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0.0,MEETS,LOCAL,5996.0,261.0,,,"(47.684853184000076, -122.28631570499999)",661.371586,530330024002,Blkgrp 0024002
44,45,,0.07380726,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation",,0.0,MEETS,CITYWIDE,,,,,"(47.627374391000046, -122.33943688999994)",389.6853977,530330067001,Blkgrp 0067001
45,46,LATONA AVE NE,0.04921687,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,11305.0,535.0,,,"(47.67083726100003, -122.32553103599997)",259.865082,530330045002,Blkgrp 0045002
46,47,NE 115TH ST,0.06223866,12/31/2010 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,,LOCAL,16332.0,263.0,,,"(47.71223978000006, -122.32471613599995)",328.5918977,530330006005,Blkgrp 0006005
47,48,BLANCHARD ST,0.06098219,12/31/2008 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,UPGRADE,LOCAL,9293.0,378.0,,,"(47.61393610700003, -122.34349377099994)",321.9859809,530330072001,Blkgrp 0072001
48,49,S DEARBORN ST,0.08595168,,"In Street, Minor Separation",,0.0,MEETS,CITYWIDE,19833.0,722.0,,,"(47.59581993300003, -122.31592282199995)",453.82476900000006,530330090002,Blkgrp 0090002
49,50,LATONA AVE NE,0.0531057,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,11309.0,535.0,,,"(47.67360156800004, -122.32547252699999)",280.39810819999997,530330036003,Blkgrp 0036003
50,51,SW ALASKA ST,0.06178046,,"In Street, Minor Separation","In Street, Major Separation",0.0,UPGRADE,CITYWIDE,21737.0,795.0,,,"(47.56106419300005, -122.38413694199994)",326.2008437,530330105004,Blkgrp 0105004
51,52,NE 85TH ST,0.02701463,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0.0,MEETS,LOCAL,17724.0,0.0,,,"(47.69019414500008, -122.28807637399996)",142.6372602,530330022003,Blkgrp 0022003
52,53,YESLER WAY,0.07987662,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation","In Street, Major Separation",0.0,MEETS,LOCAL,13768.0,455.0,,,"(47.60170347700006, -122.32244685299997)",421.74856189999997,530330091001,Blkgrp 0091001
53,54,,0.04144364,12/31/2008 12:00:00 AM +0000,"In Street, Minor Separation",Neighborhood Greenway,0.0,,LOCAL,,,,,"(47.655400394000026, -122.31732834299999)",218.8223997,530330053021,Blkgrp 0053021
54,55,RENTON AVE S,0.13122828,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12550.0,698.0,,,"(47.50252097200007, -122.25062234499995)",692.8757017,530330119002,Blkgrp 0119002
55,56,RAINIER AVE S,0.04129009,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,MEETS,LOCAL,12430.0,688.0,,,"(47.52026439600007, -122.26158231799997)",217.9887046,530330118001,Blkgrp 0118001
56,57,LAKE WASHINGTON BLVD S,0.48499822,12/31/2013 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,UPGRADE,LOCAL,11228.0,517.0,,,"(47.58768187100003, -122.28929852399995)",2554.137463,530330095001,Blkgrp 0095001
57,58,RENTON AVE S,0.033337,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12521.0,699.0,,,"(47.527901273000055, -122.27765878399998)",176.01934350000002,530330117001,Blkgrp 0117001
58,59,63RD AVE SW,0.03334498,12/31/2013 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,MEETS,LOCAL,8119.0,329.0,,,"(47.57308175000003, -122.41343619199995)",175.96533269999998,530330097013,Blkgrp 0097013
59,60,BURKE GILMAN SAND POINT TRL,0.27628794,12/31/2009 12:00:00 AM +0000,Multi-use Trail,,0.0,MEETS,LOCAL,567743.0,0.0,,,"(47.68616553500004, -122.264984202)",1942.444589,530330022004,Blkgrp 0022004
60,61,DELRIDGE WAY SW,0.12500404,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0.0,,CITYWIDE,9960.0,408.0,,,"(47.568347464000055, -122.36328260799996)",660.0213073,530330099002,Blkgrp 0099002
61,62,LATONA AVE NE,0.05303316,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,11311.0,535.0,,,"(47.67513653100008, -122.32544882699995)",280.0150853,530330036003,Blkgrp 0036003
62,63,LAKE WASHINGTON BLVD S,0.07934484,12/31/2013 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,UPGRADE,LOCAL,11225.0,517.0,,,"(47.591135343000076, -122.28918884999996)",418.9407579,530330089001,Blkgrp 0089001
63,64,RENTON AVE S,0.02109883,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12514.0,699.0,,,"(47.53248587100006, -122.27857513499998)",111.40181740000001,530330111013,Blkgrp 0111013
64,65,RENTON AVE S,0.04795185,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12542.0,697.0,,,"(47.50820460600005, -122.25651781599998)",253.1857419,530330119003,Blkgrp 0119003
65,66,RENTON AVE S,0.05718794,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12538.0,697.0,,,"(47.510716554000055, -122.26029523099999)",301.95216980000004,530330119001,Blkgrp 0119001
66,67,S WELLER ST,0.20872736,12/31/2012 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,,CITYWIDE,21537.0,750.0,,,"(47.59749957100007, -122.31722672699999)",1102.080483,530330091001,Blkgrp 0091001
67,68,SPRING ST,0.06046284,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation",,,,,12866.0,,,,"(47.60819780800006, -122.33022434099996)",319.2437747,530330082002,Blkgrp 0082002
68,69,NE 116TH ST,0.02656147,12/31/2009 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,,LOCAL,16367.0,263.0,,,"(47.71315700500003, -122.32664353199999)",140.24456469999998,530330006005,Blkgrp 0006005
69,70,LAKE WASHINGTON BLVD S,0.01486258,12/31/2013 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0.0,UPGRADE,LOCAL,11220.0,517.0,,,"(47.59915369400005, -122.28861904099995)",78.41087928,530330089001,Blkgrp 0089001
70,71,NE 82ND ST,0.04927783,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0.0,MEETS,LOCAL,17684.0,0.0,,,"(47.68843024000006, -122.28744225799994)",260.186957,530330024001,Blkgrp 0024001
71,72,LATONA AVE NE,0.05302047,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,11308.0,535.0,,,"(47.67283413800004, -122.32548446999999)",279.9480564,530330036003,Blkgrp 0036003
72,73,38TH AVE NE,0.12175282,12/31/2014 12:00:00 AM +0000,Neighborhood Greenway,,0.0,MEETS,LOCAL,5872.0,0.0,,,"(47.68843024000006, -122.28744225799994)",642.8548845,530330024001,Blkgrp 0024001
73,74,E COLUMBIA ST,0.06291445,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,Neighborhood Greenway,0.0,MEETS,CITYWIDE,13917.0,423.0,,,"(47.60918901500003, -122.30761363199997)",332.1882952,530330087001,Blkgrp 0087001
74,75,SW ALASKA ST,0.06174647,,"In Street, Minor Separation","In Street, Major Separation",0.0,UPGRADE,CITYWIDE,21736.0,795.0,,,"(47.561058098000046, -122.38281651499994)",326.02138219999995,530330105004,Blkgrp 0105004
75,76,MARION ST,0.12184501,12/31/2011 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,UPGRADE,CITYWIDE,11673.0,560.0,,,"(47.60908893800007, -122.32337662399999)",643.3416692000001,530330083001,Blkgrp 0083001
76,77,MERIDIAN AVE N,0.06266969,12/31/2016 12:00:00 AM +0000,"In Street, Major Separation",,0.0,MEETS,LOCAL,11823.0,0.0,,,"(47.70503640000004, -122.33392968299995)",330.8959765,530330012005,Blkgrp 0012005
77,78,RENTON AVE S,0.09241188,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12543.0,697.0,,,"(47.50764373100003, -122.25591432399995)",487.93473789999996,530330119002,Blkgrp 0119002
78,79,15TH AVE NE,0.12520445,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0.0,,CITYWIDE,2086.0,135.0,,,"(47.717602181000075, -122.31261738199998)",661.0794967999999,530330006006,Blkgrp 0006006
79,80,BELL ST,0.06102245,12/31/2008 12:00:00 AM +0000,Sharrow,"In Street, Minor Separation",0.0,UPGRADE,LOCAL,9203.0,376.0,,,"(47.61669824200004, -122.34221437499997)",322.19852149999997,530330072002,Blkgrp 0072002
80,81,ROOSEVELT WAY NE,0.05002257,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0.0,,CITYWIDE,12630.0,701.0,,,"(47.68747416100007, -122.31756555799996)",264.1191545,530330026004,Blkgrp 0026004
81,82,DELRIDGE WAY SW,0.08274763,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0.0,,CITYWIDE,9977.0,409.0,,,"(47.539147402000026, -122.36093796499995)",436.9074744,530330108002,Blkgrp 0108002
82,83,ROY ST,0.06074287,,"In Street, Minor Separation","In Street, Major Separation",0.0,UPGRADE,CITYWIDE,12691.0,384.0,,,"(47.62539824000004, -122.34103566899995)",320.7223707,530330072001,Blkgrp 0072001
83,84,S MYRTLE PL,0.04098789,,"In Street, Minor Separation","In Street, Major Separation",0.0,UPGRADE,CITYWIDE,20903.0,756.0,,,"(47.537298726000074, -122.28686226599996)",216.3044571,530330110013,Blkgrp 0110013
84,85,E YESLER WAY,0.04865306,12/31/2007 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0.0,UPGRADE,CITYWIDE,14935.0,455.0,,,"(47.601695164000034, -122.31782315499999)",256.8881398,530330086003,Blkgrp 0086003
85,86,VALLEY ST,0.04297326,,"In Street, Minor Separation","In Street, Major Separation",0.0,UPGRADE,CITYWIDE,13266.0,384.0,,,"(47.625789508000025, -122.33712161899996)",226.8988043,530330066001,Blkgrp 0066001
86,87,LATONA AVE NE,0.05294212,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,11310.0,535.0,,,"(47.67437023400004, -122.32546064799999)",279.5343755,530330036003,Blkgrp 0036003
87,88,5TH AVE S,0.05598907,12/31/2016 12:00:00 AM +0000,Sharrow,"In Street, Major Separation",0.0,,CITYWIDE,7356.0,326.0,,,"(47.60168377100007, -122.32765594099999)",295.62226499999997,530330092001,Blkgrp 0092001
88,89,LAKE WASHINGTON BLVD S,0.1405255,12/31/2013 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,UPGRADE,LOCAL,11219.0,517.0,,,"(47.60082646500007, -122.28765563399998)",741.9189824,530330078001,Blkgrp 0078001
89,90,E COLUMBIA ST,0.06091737,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,Neighborhood Greenway,0.0,MEETS,CITYWIDE,13923.0,423.0,,,"(47.60901406000005, -122.30015994399997)",321.6437376,530330088001,Blkgrp 0088001
90,91,S BARTON ST,0.034190899999999996,12/31/2000 12:00:00 AM +0000,Multi-use Trail,Neighborhood Greenway,0.0,,LOCAL,613404.0,,,,"(47.521021647000055, -122.27708181199995)",180.52794430000003,530330117001,Blkgrp 0117001
91,92,E COLUMBIA ST,0.06102154,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,Neighborhood Greenway,0.0,MEETS,CITYWIDE,13914.0,423.0,,,"(47.609205985000074, -122.31153383899999)",322.1937222,530330087001,Blkgrp 0087001
92,93,ALKI AVE SW,0.18808319,12/31/2000 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,,LOCAL,8802.0,364.0,,,"(47.57781840400003, -122.41525391399995)",993.0690141000001,530330097013,Blkgrp 0097013
93,94,20TH AVE W,0.12927677,12/31/1990 12:00:00 AM +0000,"In Street, Minor Separation",Multi-use Trail,0.0,,CITYWIDE,3090.0,173.0,,,"(47.64658658500008, -122.38197394999997)",682.5813347,530330058023,Blkgrp 0058023
94,95,ROOSEVELT WAY NE,0.05002014,12/31/2010 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Major Separation",0.0,,CITYWIDE,12633.0,701.0,,,"(47.68892135900006, -122.31759120499999)",264.1063235,530330027001,Blkgrp 0027001
95,96,E COLUMBIA ST,0.06099414,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,Neighborhood Greenway,0.0,MEETS,CITYWIDE,13913.0,423.0,,,"(47.60921053800007, -122.31283939699995)",322.0490803,530330086001,Blkgrp 0086001
96,97,MERCER ST,0.06096404,12/31/2007 12:00:00 AM +0000,"In Street, Minor Separation",,0.0,MEETS,LOCAL,11761.0,0.0,,12/31/2016 12:00:00 AM +0000,"(47.62458297400008, -122.35670922099996)",321.8901478,530330070003,Blkgrp 0070003
97,98,NE 115TH ST,0.06220335,12/31/2010 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,,LOCAL,16331.0,263.0,,,"(47.712247164000075, -122.32605019199997)",328.4337132,530330006005,Blkgrp 0006005
98,99,S MYRTLE PL,0.07540141,,"In Street, Minor Separation","In Street, Major Separation",0.0,UPGRADE,CITYWIDE,20901.0,756.0,,,"(47.53837242700007, -122.28998367999998)",398.11944289999997,530330110013,Blkgrp 0110013
99,100,RENTON AVE S,0.04597922,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12534.0,696.0,,,"(47.514089254000055, -122.26541862599998)",242.7702755,530330118003,Blkgrp 0118003
100,101,WESTERN AVE,0.08071048,12/31/2008 12:00:00 AM +0000,"In Street, Major Separation",,0.0,MEETS,LOCAL,13502.0,0.0,,,"(47.606370465000055, -122.33930681599998)",426.1513245,530330081001,Blkgrp 0081001
101,102,LATONA AVE NE,0.03951337,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,11307.0,535.0,,,"(47.67226221100003, -122.32549332899998)",208.6305907,530330036003,Blkgrp 0036003
102,103,NE 125TH ST,0.05575446,,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,16506.0,773.0,,,"(47.71923448100006, -122.28852936499999)",294.383524,530330008001,Blkgrp 0008001
103,104,RENTON AVE S,0.02560446,12/31/2016 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,12548.0,698.0,,,"(47.503220707000025, -122.25114885099998)",135.189062,530330119003,Blkgrp 0119003
104,105,E COLUMBIA ST,0.06129861,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,Neighborhood Greenway,0.0,MEETS,CITYWIDE,13926.0,423.0,,,"(47.609006899000065, -122.29624649099998)",323.6566749,530330088001,Blkgrp 0088001
105,106,SPRUCE ST,0.060984800000000006,12/31/2011 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,,LOCAL,12874.0,836.0,,,"(47.60269993900005, -122.32214372299995)",321.9997209,530330085003,Blkgrp 0085003
106,107,LATONA AVE NE,0.04924362,12/31/2012 12:00:00 AM +0000,"In Street, Minor Separation","In Street, Minor Separation",0.0,,LOCAL,11306.0,535.0,,,"(47.67154964000008, -122.32552024999995)",260.0062994,530330045002,Blkgrp 0045002
107,108,RAINIER AVE S,0.13560571,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation",,0.0,MEETS,CITYWIDE,12435.0,690.0,,,"(47.51475163300006, -122.25240047099999)",715.998136,530330118001,Blkgrp 0118001
108,109,S WELLER ST,0.1219818,12/31/2012 12:00:00 AM +0000,Sharrow,Neighborhood Greenway,0.0,,CITYWIDE,21539.0,750.0,,,"(47.597488750000025, -122.31158332599995)",644.0638826,530330090002,Blkgrp 0090002
109,110,E COLUMBIA ST,0.06091204,12/31/2016 12:00:00 AM +0000,Neighborhood Greenway,Neighborhood Greenway,0.0,MEETS,CITYWIDE,13919.0,423.0,,,"(47.60902403600005, -122.305019002)",321.61555319999997,530330087001,Blkgrp 0087001
110,111,RAINIER AVE S,0.17250021,12/31/2015 12:00:00 AM +0000,"In Street, Minor Separation",,0.0,MEETS,CITYWIDE,12434.0,690.0,,,"(47.516759583000066, -122.25450762899999)",910.6573296,530330118001,Blkgrp 0118001
